"","year","entidad","idd","pp_gob","dim_1","dim_2","dim_3","dim_4","pp_izq"
"119",2013,"Quintana Roo",3.895,"pri",2.578,3.464,0.51,0.449,"pp_otro"
"120",2013,"San Luis Potosi",4.205,"pri",3.977,3.635,0.437,-0.591,"pp_otro"
"121",2013,"Sinaloa",3.356,"pan",2.114,2.951,0.563,0.554,"pp_otro"
"122",2013,"Sonora",4.011,"pan",3.236,3.172,0.065,0.701,"pp_otro"
"123",2013,"Tabasco",4.187,"prd",4.847,4.22,-1.445,-0.19,"pp_izq"
"124",2013,"Tamaulipas",1.789,"pri",1.478,3.43,-0.673,-0.657,"pp_otro"
"125",2013,"Tlaxcala",4.996,"pri",3.974,6.058,-0.552,-0.899,"pp_otro"
"126",2013,"Veracruz",4.168,"pri",4.391,2.625,0.04,0.347,"pp_otro"
"127",2013,"Yucatan",10,"pri",6.078,7.54,1.084,-0.044,"pp_otro"
"128",2013,"Zacatecas",3.755,"pri",4.223,3.413,-0.748,-0.094,"pp_otro"
"129",2014,"Aguascalientes",7.67,"pri",6.807,4.86,0.536,0.855,"pp_otro"
"130",2014,"Baja California",7.238,"pan",5.598,5.537,1.169,0.129,"pp_otro"
"131",2014,"Baja California Sur",5.512,"pan",5.565,3.581,0.696,-0.008,"pp_otro"
"132",2014,"Campeche",5.717,"pri",5.24,3.271,0.062,1.579,"pp_otro"
"133",2014,"Chiapas",3.726,"pvem",5.166,2.808,-0.45,-0.577,"pp_otro"
"134",2014,"Chihuahua",5.549,"pri",4.928,3.639,0.469,0.857,"pp_otro"
"135",2014,"Cdmx",8.936,"prd",7.614,5.246,0.561,1.415,"pp_izq"
"136",2014,"Coahuila",5.443,"pri",5.43,3.369,0.36,0.568,"pp_otro"
"137",2014,"Colima",5.171,"pri",4.796,3.58,0.747,0.178,"pp_otro"
"138",2014,"Durango",3.164,"pri",3.543,3.163,-0.727,0.009,"pp_otro"
"139",2014,"Guanajuato",5.459,"pan",5.329,5.886,-0.904,-0.559,"pp_otro"
"140",2014,"Guerrero",1.3,"prd",1.435,2.147,-0.323,-0.66,"pp_izq"
"141",2014,"Hidalgo",5.446,"pri",5.313,5.663,-0.474,-0.771,"pp_otro"
"142",2014,"Jalisco",5.502,"pri",6.581,3.403,0.165,-0.33,"pp_otro"
"143",2014,"Mexico",4.128,"pri",4.275,3.356,-0.299,0.285,"pp_otro"
"144",2014,"Michoacan",2.458,"pri",3.572,1.694,-0.947,0.426,"pp_otro"
"145",2014,"Morelos",3.464,"prd",4.687,2.047,0.837,-1.067,"pp_izq"
"146",2014,"Nayarit",8.015,"pri",7.053,5.3,0.492,0.703,"pp_otro"
"147",2014,"Nuevo Leon",5.321,"pri",5.478,3.391,0.758,-0.091,"pp_otro"
"148",2014,"Oaxaca",4.282,"mc",5.726,2.548,0.067,-0.472,"pp_otro"
"149",2014,"Puebla",1.829,"pan",3.007,2.134,-0.902,-0.64,"pp_otro"
"150",2014,"Queretaro",4.995,"pri",4.912,4.766,-0.829,0.173,"pp_otro"
"151",2014,"Quintana Roo",3.077,"pri",3.492,2.804,0.395,-0.854,"pp_otro"
"152",2014,"San Luis Potosi",4.67,"pri",5.834,2.992,0.249,-0.574,"pp_otro"
"153",2014,"Sinaloa",4.676,"pan",4.732,2.415,0.416,0.947,"pp_otro"
"154",2014,"Sonora",5.756,"pan",5.265,2.899,0.94,1.109,"pp_otro"
"155",2014,"Tabasco",4.674,"prd",7.367,3.541,-1.987,-0.414,"pp_izq"
"156",2014,"Tamaulipas",3.093,"pri",3.54,3.523,-0.839,-0.359,"pp_otro"
"157",2014,"Tlaxcala",5.402,"pri",4.757,6.434,-0.445,-1.083,"pp_otro"
"158",2014,"Veracruz",4.262,"pri",6.324,2.144,-0.125,-0.506,"pp_otro"
"159",2014,"Yucatan",10,"pri",7.568,7.738,0.855,0.116,"pp_otro"
"160",2014,"Zacatecas",4.528,"pri",6.527,2.65,-0.523,-0.383,"pp_otro"
"161",2015,"Aguascalientes",8.026,"pri",6.408,5.181,0.621,1.169,"pp_otro"
"162",2015,"Baja California",6.733,"pan",6.515,5.111,0.203,-0.303,"pp_otro"
"163",2015,"Baja California Sur",5.066,"pan",5.913,2.833,0.306,-0.05,"pp_otro"
"164",2015,"Campeche",6.942,"pri",7.193,3.243,-0.125,1.52,"pp_otro"
"165",2015,"Chiapas",5.164,"pvem",7.118,2.959,-0.395,-0.529,"pp_otro"
"166",2015,"Chihuahua",5.642,"pri",5.325,3.954,0.123,0.49,"pp_otro"
"167",2015,"Cdmx",8.072,"prd",7.422,4.184,0.029,1.808,"pp_izq"
"168",2015,"Coahuila",5.538,"pri",6.09,3.668,-0.072,0.046,"pp_otro"
"169",2015,"Colima",7.702,"pri",7.19,4.16,0.286,1.286,"pp_otro"
"170",2015,"Durango",4.916,"pri",5.295,3.711,-0.537,0.296,"pp_otro"
"171",2015,"Guanajuato",6.829,"pan",5.855,5.886,-0.266,0.192,"pp_otro"
"172",2015,"Guerrero",0.787,"prd",2.194,0.392,0.304,-1.316,"pp_izq"
"173",2015,"Hidalgo",8.215,"pri",7.885,6.413,-0.068,-0.587,"pp_otro"
"174",2015,"Jalisco",6.28,"pri",7.041,4.01,0.037,-0.234,"pp_otro"
"175",2015,"Mexico",4.694,"pri",5.005,3.774,-0.928,0.562,"pp_otro"
"176",2015,"Michoacan",3.818,"prd",5.527,2.177,-0.852,0.143,"pp_izq"
"177",2015,"Morelos",4.456,"prd",7.121,2.141,0.726,-1.954,"pp_izq"
"178",2015,"Nayarit",7.25,"pri",5.21,5.172,1.32,0.573,"pp_otro"
"179",2015,"Nuevo Leon",7.197,"ind",5.24,4.599,1.491,0.87,"pp_otro"
"180",2015,"Oaxaca",3.02,"mc",4.119,2.863,-0.278,-1.053,"pp_otro"
"181",2015,"Puebla",2.985,"pan",5.499,2.339,-1.155,-1.093,"pp_otro"
"182",2015,"Queretaro",3.584,"pan",3.362,3.577,-0.88,0.546,"pp_otro"
"183",2015,"Quintana Roo",4.294,"pri",4.687,3.587,-0.136,-0.365,"pp_otro"
"184",2015,"San Luis Potosi",4.951,"pri",4.812,3.865,0.539,-0.395,"pp_otro"
"185",2015,"Sinaloa",5.214,"pan",4.902,2.331,1.022,0.977,"pp_otro"
"186",2015,"Sonora",7.139,"pri",6.198,4.203,0.488,1.228,"pp_otro"
"187",2015,"Tabasco",5.291,"prd",7.57,3.561,-1.834,0.055,"pp_izq"
"188",2015,"Tamaulipas",5.124,"pri",5.338,3.647,0.063,0.044,"pp_otro"
"189",2015,"Tlaxcala",6.434,"pri",6.928,6.58,-0.347,-2.077,"pp_otro"
"190",2015,"Veracruz",4.022,"pri",6,2.628,-0.374,-0.924,"pp_otro"
"191",2015,"Yucatan",10,"pri",8.031,7.702,0.875,-0.546,"pp_otro"
"192",2015,"Zacatecas",4.774,"pri",6.285,2.817,-0.183,-0.377,"pp_otro"
"193",2017,"Aguascalientes",9.201,"pan",5.166,5.98,0.755,1.35,"pp_otro"
"194",2017,"Baja California",1.855,"pan",2.511,3.621,0.577,-0.315,"pp_otro"
"195",2017,"Baja California Sur",7.744,"pan",7.149,4.323,1.014,-0.266,"pp_otro"
"196",2017,"Campeche",7.228,"pri",7.53,4.044,-1.032,1.291,"pp_otro"
"197",2017,"Chiapas",4.41,"pvem",7.307,3.681,-1.264,-0.308,"pp_otro"
"198",2017,"Chihuahua",1.424,"pan",5.248,0.581,0.025,-0.149,"pp_otro"
"199",2017,"Cdmx",6.971,"prd",6.007,3.419,-0.353,2.561,"pp_izq"
"200",2017,"Coahuila",7.721,"pri",5.636,5.389,0.503,0.677,"pp_otro"
"201",2017,"Colima",5.748,"pri",4.047,4.308,1.294,0.988,"pp_otro"
"202",2017,"Durango",7.609,"pan",6.703,4.637,0.245,0.536,"pp_otro"
"203",2017,"Guanajuato",3.038,"pan",4.025,3.682,-0.799,1.043,"pp_otro"
"204",2017,"Guerrero",0,"pri",2.65,2.216,-0.023,-3.37,"pp_otro"
"205",2017,"Hidalgo",1.828,"pri",3.414,4.357,0.142,-1.56,"pp_otro"
"206",2017,"Jalisco",4.583,"pri",5.187,4.534,0.239,-0.376,"pp_otro"
"207",2017,"Mexico",2.322,"pri",4.903,2.025,-1.049,1.175,"pp_otro"
"208",2017,"Michoacan",1.023,"prd",4.226,2.409,-0.674,-0.995,"pp_izq"
"209",2017,"Morelos",0.584,"prd",4.125,0.569,0.386,-1.111,"pp_izq"
"210",2017,"Nayarit",7.633,"pan",5.805,5.832,1.022,-0.521,"pp_otro"
"211",2017,"Nuevo Leon",6.417,"ind",5.273,3.963,1.101,0.857,"pp_otro"
"212",2017,"Oaxaca",1.335,"pri",5.337,2.799,0.175,-2.76,"pp_otro"
"213",2017,"Puebla",1.5,"pan",5.123,2.04,-1.179,-0.15,"pp_otro"
"214",2017,"Queretaro",7.103,"pan",6.589,5.339,-0.743,0.552,"pp_otro"
"215",2017,"Quintana Roo",1.71,"prd",4.148,1.382,0.174,0.468,"pp_izq"
"216",2017,"San Luis Potosi",4.677,"pri",5.79,4.077,0.144,-0.337,"pp_otro"
"217",2017,"Sinaloa",6.844,"pri",6.278,3.521,1.127,0.61,"pp_otro"
"218",2017,"Sonora",4.637,"pri",7.475,1.025,0.149,0.985,"pp_otro"
"219",2017,"Tabasco",5.706,"prd",7.696,5.667,-2.355,-0.407,"pp_izq"
"220",2017,"Tamaulipas",10,"pan",7.871,5.233,0.075,0.6,"pp_otro"
"221",2017,"Tlaxcala",5.318,"pri",5.856,5.488,0.193,-1.275,"pp_otro"
"222",2017,"Veracruz",0.332,"pan",4.356,0.79,-1.196,-0.728,"pp_otro"
"223",2017,"Yucatan",8.85,"pri",6.542,5.843,0.396,0.229,"pp_otro"
"224",2017,"Zacatecas",7.328,"pri",5.115,5.153,0.933,0.708,"pp_otro"
"225",2018,"Aguascalientes",10,"pan",6.553,5.319,0.499,1.495415147,"pp_otro"
"226",2018,"Baja California",5.594,"pan",5.317,3.764,0.468,-0.196717824,"pp_otro"
"227",2018,"Baja California Sur",4.053,"pan",4.025,3.457,0.594,-0.301431855,"pp_otro"
"228",2018,"Campeche",8.01,"pri",7.174,4.621,-1.146,1.179492119,"pp_otro"
"229",2018,"Chiapas",1.155,"pvem",4.004,2.33,-1.005,-0.523210656,"pp_otro"
"230",2018,"Chihuahua",2.186,"pan",5.184,0.521,0.022,0.134516508,"pp_otro"
"231",2018,"Cdmx",8.118,"morena",7.179,2.353,0.451,3.00510146,"pp_izq"
"232",2018,"Coahuila",9.46,"pri",7.267,4.484,0.74,1.06536119,"pp_otro"
"233",2018,"Colima",6.91,"pri",3.328,4.197,0.901,0.981141232,"pp_otro"
"234",2018,"Durango",4.471,"pan",4.293,2.934,0.342,0.63319471,"pp_otro"
"235",2018,"Guanajuato",8.331,"pan",7.191,4.271,-0.582,1.276624637,"pp_otro"
"236",2018,"Guerrero",0,"pri",5.149,1.878,-0.118,-3.286569676,"pp_otro"
"237",2018,"Hidalgo",4.751,"pri",5.733,4.435,0.054,-1.733040517,"pp_otro"
"238",2018,"Jalisco",3.352,"mc",3.28,3.638,0.387,-0.248663697,"pp_otro"
"239",2018,"Mexico",5.015,"pri",5.726,2.306,-0.603,1.330501371,"pp_otro"
"240",2018,"Michoacan",3.91,"prd",6.279,3.046,-0.373,-1.324180314,"pp_izq"
"241",2018,"Morelos",0.086,"pes",4.03,0.535,0.509,-1.363877764,"pp_otro"
